ZSJ_ZGX_Repeat_Cell_concentration (ml^-1)	ZSJ_ZGX_Repeat_1	ZSJ_ZGX_Repeat_2	ZSJ_ZGX_Control_Cell_concentration (ml^-1)	ZSJ_ZGX_Control	ZTY_Cell_concentration (ml^-1)	ZTY_Experimental	ZTY_Cell_concentration (ml^-1)	ZTY_Control	WL_Cell_concentration (ml^-1)	WL_Experimental	WL_Cell_concentration (ml^-1)	WL_Control	TYX_Cell_concentration (ml^-1)	TYX_Experimental	TYX_Cell_concentration (ml^-1)	TYX_Control
3.28E+05	5	4	2.52E+05	7	1.23E+06	9	2.9E+06	4	2.62E+06	0	1.11E+06	7	6.22E+05	12	2.71E+06	9
2.23E+05	2	3		5	2.94E+06	12		8	9.15E+05	1		6	6.28E+05	2		11
5.28E+05	5	4		7	4.68E+06	11		9	8.86E+05	1		9	2.23E+06	1		6
	12	7		7		2		2		1		6		6		1
	8	9		5		1		6		4		7		0		5
	3	6		9		7		6		0		4		4		7
	14	9		10		2		3		0		13		1		4
	4	2		6		6		10		4		7		3		5
	9	4		5		12		9		5		7		4		5
	6	3		9		4		6		5		12		1		1
	2	2		6		7		6		2		5		1		7
	7	21		9		8		5		0		8		1		6
	2	2		8		8		3		2		8		2		8
	1	2		7		28		4		0		10		4		5
	4	1		7		4		5		6		7		1		4
	3	3		6		7		4		0		5		3		7
	6	5		4		5		2		0		7		4		6
	4	2		5		2		8		1		7		4		4
	2	5		5		6		4		1		5		20		7
	23	20		7		3		6		3		5		1		4
	2	1		6		2		5		3		10		6		8
	5	4		7		12		6		2		7		16		8
	1	0		7		3		8		0		4		4		16
	1	4		11		13		0		2		13		0		8
	17	15		5		6		3		35		4		1		8
	6	21		6		35		4		1		10		0		10
	8	3		10		3		3		1		6		8		9
	12	4		5		2		7		2		13		2		3
	10	9		7		1		3		5		11		2		2
	3	2		8		2		9		2		1		8		7
	0	3		14		11		3		0		9		3		6
	7	9		6		25		3		0		11		2		4
	7	2		5		3		6		3		8		3		11
	13	14		5		11		4		4		7		1		10
	1	1		7		2		4		0		14		0		3
	3	1		5		4		3		4		9		4		8
	1	1		6		2		4		5		4		7		9
	6	4		5		5		3		2		13		56		3
	24	26		8		12		3		3		7		5		10
	1	1		7		5		2		2		7		9		11
	4	3		12		5		1		2		5		2		8
	2	0		8		8		8		0		5		1		11
	1	3		5		1		5		6		11		0		4
	2	2		5		4		3		0		9		3		5
	0	3		8		9		6		52		8		6		7
	0	2		8		123		5		0		6		3		6
	3	7		4		5		7		0		11		2		6
	7	4		9		5		4		1		7		5		7
	1	2		8		9		4		1		11		5		3
	2	5		5		2		0		1		7		0		3
	3	5		8		0		5		0		16		3		4
	2	4		6		3		4		5		6		2		1
	4	1		10		3		1		1		7		1		6
	1	2		7		54		7		0		13		4		5
	3	2		7		12		4		1		13		4		10
	3	2		7		11		5		6		7		3		8
	5	4		4		5		2		0		11		3		9
	7	6		3		1		4		5		8		4		7
	2	3		8		2		5		1		12		2		4
	1	3		8		3		6		2		8		3		4
	29	18		4		22		11		1		11		2		6
	6	9		6		2		6		2		9		1		2
	5	5		5		3		4		41		12		0		10
	4	2		6		5		2		2		9		8		9
	1	2		5		1		5		8		6		0		12
	3	2		4		9		8		0		8		22		9
	0	2		5		4		5		0		10		1		7
	3	1		5		1		3		4		15		1		13
	3	4		6		1		4		14		11		3		6
	0	2		12		3		4		0		9		3		7
	1	7		11		2		5		3		6		3		4
	1	0		5		3		10		0		6		11		11
	20	12		7		4		7		0		10		2		5
	0	3		3		2		6		0		10		1		11
	7	6		5		4		3		3		10		3		8
	0	2		9		4		9		1		7		1		8
	3	3		7		1		6		18		15		2		11
	1	0		8		4		4		0		7		3		9
	2	4		2		3		3		0		9		2		9
	3	1		9		2		3		0		8		1		9
	4	1		7		0		5		0		14		2		9
	4	4		8		5		4		1		4		6		5
	0	12		6		18		3		0		6		3		7
	1	2		6		3		4		2		11		1		7
	2	1		14		3		7		2		5		2		6
	2	4		6		28		5		2		8		1		6
	5	10		4		3		5		0		11		2		6
	3	3		17		0		5		0		10		0		14
	4	2		10		1		5		0		6		16		4
	4	2		6		4		2		1		10		2		8
	3	1		6		8		4		0		10		7		5
	1	3		9		3		4		2		7		4		5
	2	3		7		4		8		3		4		1		6
				9		10		4		3		9		3		14
								3		0		5				10
								7		40		2				6
								6				9				
								3				13				
								5				11				
